analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_True_window_1_lags_1_sinusoidal_yes_piecewise,True,1,piecewise_lags_1_sinusoidal_yes,0.05,0.346,555.756,563.75,False,True,True,1.569,-0.392,0,2.373,2.903,0.308,754.8891591822222,1.527,0.674,,,1.001,1.002,0.963,0.668
Croplands_cluster_2_yearly_True_window_1_lags_5_sinusoidal_yes_piecewise,True,1,piecewise_lags_5_sinusoidal_yes,0.066,0.996,480.977,488.045,True,True,True,1.673,-0.866,0,1.122,1.317,0.31,875.3452,,,1.128,0.793,1.063,1.004,0.878,0.983
Croplands_cluster_2_yearly_False_window_2_lags_none_sinusoidal_no_piecewise,False,2,piecewise_lags_none_sinusoidal_no,0.005,0.672,1311.496,1318.198,True,True,False,1.302,-0.058,0,3.494,3.494,0.616,713.6489858585859,,,,,,,,
Croplands_cluster_2_yearly_False_window_2_lags_1_sinusoidal_no_piecewise,False,2,piecewise_lags_1_sinusoidal_no,0.005,0.71,1298.747,1307.625,True,True,False,1.271,-0.107,0,3.964,4.175,0.646,713.6542939393939,1.211,0.979,,,,,,
Croplands_cluster_2_yearly_False_window_2_lags_5_sinusoidal_no_piecewise,False,2,piecewise_lags_5_sinusoidal_no,0.022,0.536,1223.984,1232.619,True,True,False,1.214,-0.062,0,5.009,5.747,0.602,713.969293939394,,,1.738,0.318,,,,
Croplands_cluster_2_yearly_False_window_2_lags_none_sinusoidal_yes_piecewise,False,2,piecewise_lags_none_sinusoidal_yes,0.015,0.748,1314.823,1325.993,True,True,False,1.354,-0.087,0,3.505,3.509,0.684,713.6489858585859,,,,,1.001,1.003,0.457,0.799
Croplands_cluster_2_yearly_False_window_2_lags_1_sinusoidal_yes_piecewise,False,2,piecewise_lags_1_sinusoidal_yes,0.015,0.781,1302.058,1315.375,True,True,False,1.324,-0.208,0,3.974,4.189,0.709,713.6542939393939,1.211,0.95,,,1.0,1.003,0.473,0.744
Croplands_cluster_2_yearly_False_window_2_lags_5_sinusoidal_yes_piecewise,False,2,piecewise_lags_5_sinusoidal_yes,0.034,0.623,1227.253,1240.207,True,True,False,1.27,-0.183,0,5.025,5.769,0.699,713.969293939394,,,1.741,0.321,1.004,1.0,0.431,0.844
Croplands_cluster_2_yearly_True_window_2_lags_none_sinusoidal_no_piecewise,True,2,piecewise_lags_none_sinusoidal_no,0.023,0.455,555.739,559.841,False,True,False,0.525,-1.201,0,1.489,1.489,0.457,779.2994875569292,,,,,,,,
Croplands_cluster_2_yearly_True_window_2_lags_1_sinusoidal_no_piecewise,True,2,piecewise_lags_1_sinusoidal_no,0.029,0.784,537.655,542.984,False,True,False,0.563,-3.032,0,1.174,1.449,0.52,835.6691935610303,1.274,0.532,,,,,,
Croplands_cluster_2_yearly_True_window_2_lags_5_sinusoidal_no_piecewise,True,2,piecewise_lags_5_sinusoidal_no,0.187,0.973,460.972,465.684,True,True,False,1.04,-0.345,0,6.265,8.839,0.504,747.6607861984445,,,3.574,0.057,,,,
