analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_2_lags_1_sinusoidal_yes_linear,False,2,linear_lags_1_sinusoidal_yes,0.114,0.691,1035.089,1044.941,True,True,False,0.966,-0.028,0,1.0,1.0,0.123,,,,,1.0,1.0,0.061,0.8
Croplands_cluster_1_yearly_False_window_2_lags_2_sinusoidal_yes_linear,False,2,linear_lags_2_sinusoidal_yes,0.105,0.549,1015.987,1025.743,False,False,False,1.029,-0.173,0,1.0,,,1.0,0.146,,,1.0,1.0,0.079,0.723
Croplands_cluster_1_yearly_False_window_2_lags_6_sinusoidal_yes_linear,False,2,linear_lags_6_sinusoidal_yes,0.109,0.1,940.698,950.054,True,True,False,1.005,-0.002,0,1.0,,,,,1.0,0.111,1.0,1.0,0.11,0.778
Croplands_cluster_1_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.034,0.413,402.838,405.02,True,True,False,0.852,-0.026,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_2_lags_1_sinusoidal_no_linear,True,2,linear_lags_1_sinusoidal_no,0.053,0.662,387.212,390.346,True,True,False,0.86,-0.191,0,1.0,1.0,0.647,,,,,,,,
Croplands_cluster_1_yearly_True_window_2_lags_2_sinusoidal_no_linear,True,2,linear_lags_2_sinusoidal_no,0.07,0.968,371.315,374.302,True,True,False,0.784,-0.217,0,1.0,,,1.0,0.543,,,,,,
Croplands_cluster_1_yearly_True_window_2_lags_6_sinusoidal_no_linear,True,2,linear_lags_6_sinusoidal_no,0.116,0.215,297.692,300.009,True,True,False,0.701,-0.711,0,1.0,,,,,1.0,0.479,,,,
Croplands_cluster_1_yearly_True_window_2_lags_none_sinusoidal_yes_linear,True,2,linear_lags_none_sinusoidal_yes,0.232,0.73,401.792,406.156,True,False,False,1.061,0.126,0,1.0,,,,,,,1.0,1.0,0.073,0.298
Croplands_cluster_1_yearly_True_window_2_lags_1_sinusoidal_yes_linear,True,2,linear_lags_1_sinusoidal_yes,0.284,0.873,385.325,390.547,True,False,False,1.069,-0.836,0,1.0,1.0,0.401,,,,,1.0,1.0,0.095,0.17
Croplands_cluster_1_yearly_True_window_2_lags_2_sinusoidal_yes_linear,True,2,linear_lags_2_sinusoidal_yes,0.359,0.33,367.877,372.856,True,True,False,1.137,-0.788,0,1.0,,,1.0,0.146,,,1.0,1.0,0.045,0.132
Croplands_cluster_1_yearly_True_window_2_lags_6_sinusoidal_yes_linear,True,2,linear_lags_6_sinusoidal_yes,0.688,0.165,285.05,288.913,True,True,True,1.565,-0.168,0,1.0,,,,,1.0,0.401,1.0,1.0,0.001,0.322
Croplands_cluster_1_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.008,0.53,1033.364,1037.342,True,True,False,0.81,-0.426,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_3_lags_1_sinusoidal_no_linear,False,3,linear_lags_1_sinusoidal_no,0.015,0.805,1017.358,1023.269,True,True,False,0.789,-0.092,0,1.0,1.0,0.505,,,,,,,,
Croplands_cluster_1_yearly_False_window_3_lags_2_sinusoidal_no_linear,False,3,linear_lags_2_sinusoidal_no,0.021,0.901,998.573,1004.427,True,True,False,0.789,-0.083,0,1.0,,,1.0,0.426,,,,,,
Croplands_cluster_1_yearly_False_window_3_lags_6_sinusoidal_no_linear,False,3,linear_lags_6_sinusoidal_no,0.074,0.113,936.008,941.622,False,True,False,0.865,-0.031,0,1.0,,,,,1.0,0.067,,,,
Croplands_cluster_1_yearly_False_window_3_lags_none_sinusoidal_yes_linear,False,3,linear_lags_none_sinusoidal_yes,0.083,0.693,1033.087,1041.043,True,False,False,0.872,-0.383,0,1.0,,,,,,,1.0,1.0,0.058,0.546
Croplands_cluster_1_yearly_False_window_3_lags_1_sinusoidal_yes_linear,False,3,linear_lags_1_sinusoidal_yes,0.105,0.876,1016.243,1026.094,True,False,False,0.844,-0.054,0,1.0,1.0,0.402,,,,,1.0,1.0,0.039,0.507
Croplands_cluster_1_yearly_False_window_3_lags_2_sinusoidal_yes_linear,False,3,linear_lags_2_sinusoidal_yes,0.122,0.697,996.938,1006.694,True,False,False,0.862,-0.176,0,1.0,,,1.0,0.277,,,1.0,1.0,0.035,0.38
Croplands_cluster_1_yearly_False_window_3_lags_6_sinusoidal_yes_linear,False,3,linear_lags_6_sinusoidal_yes,0.093,0.11,939.029,948.385,False,True,False,0.883,-0.144,0,1.0,,,,,1.0,0.066,1.0,1.0,0.452,0.586
Croplands_cluster_1_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.028,0.456,395.28,397.462,True,True,False,0.546,-0.245,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_3_lags_1_sinusoidal_no_linear,True,3,linear_lags_1_sinusoidal_no,0.038,0.674,380.455,383.588,True,True,False,0.533,-0.052,0,1.0,1.0,0.687,,,,,,,,
Croplands_cluster_1_yearly_True_window_3_lags_2_sinusoidal_no_linear,True,3,linear_lags_2_sinusoidal_no,0.058,0.76,363.828,366.815,True,True,False,0.573,-0.333,0,1.0,,,1.0,0.68,,,,,,
Croplands_cluster_1_yearly_True_window_3_lags_6_sinusoidal_no_linear,True,3,linear_lags_6_sinusoidal_no,0.186,0.109,292.781,295.099,True,True,False,0.463,-0.059,0,1.0,,,,,1.0,0.35,,,,
Croplands_cluster_1_yearly_True_window_3_lags_none_sinusoidal_yes_linear,True,3,linear_lags_none_sinusoidal_yes,0.313,0.894,391.659,396.023,True,True,False,0.856,-0.06,0,1.0,,,,,,,1.0,1.0,0.021,0.264
Croplands_cluster_1_yearly_True_window_3_lags_1_sinusoidal_yes_linear,True,3,linear_lags_1_sinusoidal_yes,0.354,0.786,376.075,381.298,True,True,False,0.867,-0.409,0,1.0,1.0,0.407,,,,,1.0,1.0,0.026,0.171
Croplands_cluster_1_yearly_True_window_3_lags_2_sinusoidal_yes_linear,True,3,linear_lags_2_sinusoidal_yes,0.395,0.408,358.972,363.951,True,True,False,1.062,-1.017,0,1.0,,,1.0,0.19,,,1.0,1.0,0.025,0.113
Croplands_cluster_1_yearly_True_window_3_lags_6_sinusoidal_yes_linear,True,3,linear_lags_6_sinusoidal_yes,0.825,0.073,272.177,276.04,True,True,False,1.031,0.566,0,1.0,,,,,1.0,0.263,1.0,1.0,0.0,0.822
Croplands_cluster_1_yearly_False_window_4_lags_none_sinusoidal_no_linear,False,4,linear_lags_none_sinusoidal_no,0.0,0.876,1014.151,1018.129,True,True,False,0.509,-0.158,0,1.0,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_4_lags_1_sinusoidal_no_linear,False,4,linear_lags_1_sinusoidal_no,0.007,0.87,998.623,1004.534,True,True,False,0.503,-0.195,0,1.0,1.0,0.547,,,,,,,,
Croplands_cluster_1_yearly_False_window_4_lags_2_sinusoidal_no_linear,False,4,linear_lags_2_sinusoidal_no,0.006,0.975,981.144,986.998,True,True,False,0.485,-0.115,0,1.0,,,1.0,0.629,,,,,,
Croplands_cluster_1_yearly_False_window_4_lags_6_sinusoidal_no_linear,False,4,linear_lags_6_sinusoidal_no,0.037,0.203,918.712,924.326,True,True,False,0.53,-0.058,0,1.0,,,,,1.0,0.254,,,,
Croplands_cluster_1_yearly_False_window_4_lags_none_sinusoidal_yes_linear,False,4,linear_lags_none_sinusoidal_yes,0.113,0.868,1011.676,1019.632,True,False,False,0.582,-0.075,0,1.0,,,,,,,1.0,1.0,0.017,0.54
Croplands_cluster_1_yearly_False_window_4_lags_1_sinusoidal_yes_linear,False,4,linear_lags_1_sinusoidal_yes,0.116,0.671,996.486,1006.338,True,False,False,0.57,-0.114,0,1.0,1.0,0.481,,,,,1.0,1.0,0.02,0.686
